Date;Time;Voltage;Global_intensity;Global_active_power;Load_Status
01/03/2024;00:00:00;210.83;3.13;0.66;0
01/03/2024;00:01:00;230.36;2.78;0.64;0
01/03/2024;00:02:00;228.54;7.35;1.68;1
01/03/2024;00:03:00;220.82;6.44;1.422;0
01/03/2024;00:04:00;249.27;2.72;0.678;0
01/03/2024;00:05:00;216.37;2.3;0.498;0
01/03/2024;00:06:00;238.79;1.24;0.296;0
01/03/2024;00:07:00;231.77;6.23;1.444;0
01/03/2024;00:08:00;223.79;13.8;3.088;1
01/03/2024;00:09:00;240.91;12.34;2.973;1
01/03/2024;00:10:00;223.15;4.01;0.895;0
01/03/2024;00:11:00;221.96;1.16;0.257;0
01/03/2024;00:12:00;225.62;11.32;2.554;1
01/03/2024;00:13:00;214.26;3.26;0.698;0
01/03/2024;00:14:00;241.83;5.5;1.33;0
01/03/2024;00:15:00;217.14;1.7;0.369;0
01/03/2024;00:16:00;221.58;14.75;3.268;1
01/03/2024;00:17:00;241.52;4.21;1.017;0
01/03/2024;00:18:00;221.89;14.2;3.151;1
01/03/2024;00:19:00;239.28;3.3;0.79;0
01/03/2024;00:20:00;244.89;6.77;1.658;1
01/03/2024;00:21:00;234.24;10.41;2.438;1
01/03/2024;00:22:00;230.59;6.13;1.414;0
01/03/2024;00:23:00;219.37;7.82;1.715;1
01/03/2024;00:24:00;226.8;1.34;0.304;0
01/03/2024;00:25:00;243.86;1.85;0.451;0
01/03/2024;00:26:00;233.36;12.14;2.833;1
01/03/2024;00:27:00;216.76;10.97;2.378;1
01/03/2024;00:28:00;219.23;13.86;3.039;1
01/03/2024;00:29:00;234.32;2.65;0.621;0
01/03/2024;00:30:00;220.35;10.43;2.298;1
01/03/2024;00:31:00;241.3;14.51;3.501;1
01/03/2024;00:32:00;222.38;1.93;0.429;0
01/03/2024;00:33:00;211.92;6.19;1.312;0
01/03/2024;00:34:00;227.73;9.55;2.175;1
01/03/2024;00:35:00;242.1;12.77;3.092;1
01/03/2024;00:36:00;249.78;6.67;1.666;1
01/03/2024;00:37:00;242.77;12.36;3.001;1
01/03/2024;00:38:00;218.91;13.33;2.918;1
01/03/2024;00:39:00;211.67;12.37;2.618;1
01/03/2024;00:40:00;235.61;9.83;2.316;1
01/03/2024;00:41:00;225.72;5.16;1.165;0
01/03/2024;00:42:00;245.49;9.95;2.443;1
01/03/2024;00:43:00;211.02;13.72;2.895;1
01/03/2024;00:44:00;237.95;9.2;2.189;1
01/03/2024;00:45:00;227.47;12.38;2.816;1
01/03/2024;00:46:00;213.26;3.76;0.802;0
01/03/2024;00:47:00;215.05;2.1;0.452;0
01/03/2024;00:48:00;224.31;10.43;2.34;1
01/03/2024;00:49:00;216.39;9.22;1.995;1
01/03/2024;00:50:00;240.3;7.42;1.783;1
01/03/2024;00:51:00;247.39;3.86;0.955;0
01/03/2024;00:52:00;215.08;4.13;0.888;0
01/03/2024;00:53:00;221.21;8.29;1.834;1
01/03/2024;00:54:00;238.67;3.43;0.819;0
01/03/2024;00:55:00;222.72;7.48;1.666;1
01/03/2024;00:56:00;239.11;5.01;1.198;0
01/03/2024;00:57:00;225.29;11.39;2.566;1
01/03/2024;00:58:00;233.15;10.77;2.511;1
01/03/2024;00:59:00;238.28;1.33;0.317;0
01/03/2024;01:00:00;233.15;10.64;2.481;1
01/03/2024;01:01:00;248.38;7.54;1.873;1
01/03/2024;01:02:00;222.33;13.98;3.108;1
01/03/2024;01:03:00;218.37;5.36;1.17;0
01/03/2024;01:04:00;223.47;10.37;2.317;1
01/03/2024;01:05:00;214.55;12.96;2.781;1
01/03/2024;01:06:00;226.53;3.59;0.813;0
01/03/2024;01:07:00;218.13;3.92;0.855;0
01/03/2024;01:08:00;215.27;3.64;0.784;0
01/03/2024;01:09:00;235.37;11.69;2.751;1
01/03/2024;01:10:00;215.27;13.29;2.861;1
01/03/2024;01:11:00;210.43;1.75;0.368;0
01/03/2024;01:12:00;235.41;9.25;2.178;1
01/03/2024;01:13:00;223.01;11.32;2.524;1
01/03/2024;01:14:00;240.73;2.76;0.664;0
01/03/2024;01:15:00;228.96;14.07;3.221;1
01/03/2024;01:16:00;246.28;3.1;0.763;0
01/03/2024;01:17:00;221.65;3.43;0.76;0
01/03/2024;01:18:00;211.84;10.67;2.26;1
01/03/2024;01:19:00;240.55;11.03;2.653;1
01/03/2024;01:20:00;237.14;8.44;2.001;1
01/03/2024;01:21:00;233.61;2.75;0.642;0
01/03/2024;01:22:00;212.48;3.47;0.737;0
01/03/2024;01:23:00;226.37;5.74;1.299;0
01/03/2024;01:24:00;234.72;12.52;2.939;1
01/03/2024;01:25:00;213.66;2.59;0.553;0
01/03/2024;01:26:00;246.36;12.23;3.013;1
01/03/2024;01:27:00;232.64;9.76;2.271;1
01/03/2024;01:28:00;222.29;5.22;1.16;0
01/03/2024;01:29:00;214.38;4.24;0.909;0
01/03/2024;01:30:00;241.05;4.32;1.041;0
01/03/2024;01:31:00;240.42;12.31;2.96;1
01/03/2024;01:32:00;227.19;12.28;2.79;1
01/03/2024;01:33:00;241.64;7.9;1.909;1
01/03/2024;01:34:00;242.74;13.71;3.328;1
01/03/2024;01:35:00;223.93;5.46;1.223;0
01/03/2024;01:36:00;227.62;4.59;1.045;0
01/03/2024;01:37:00;215.63;5.56;1.199;0
01/03/2024;01:38:00;235.29;13.3;3.129;1
01/03/2024;01:39:00;229.38;12.0;2.753;1
01/03/2024;01:40:00;219.38;4.92;1.079;0
01/03/2024;01:41:00;212.73;10.38;2.208;1
01/03/2024;01:42:00;249.1;8.7;2.167;1
01/03/2024;01:43:00;227.4;12.85;2.922;1
01/03/2024;01:44:00;245.94;10.44;2.568;1
01/03/2024;01:45:00;215.58;8.2;1.768;1
01/03/2024;01:46:00;240.02;12.53;3.007;1
01/03/2024;01:47:00;245.91;5.35;1.316;0
01/03/2024;01:48:00;224.37;6.41;1.438;0
01/03/2024;01:49:00;248.74;7.43;1.848;1
01/03/2024;01:50:00;248.38;4.69;1.165;0
01/03/2024;01:51:00;242.4;8.73;2.116;1
